image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
1 888.629 171.993 2 906.545 171.993 -68.2887 27.7666 101.024
1 555.393 340.402 2 555.393 340.402 -1.6417 -0.789466 19.4872
1 770.384 218.574 2 784.717 218.574 -34.1418 14.0973 74.1681
1 842.048 250.823 2 856.38 250.823 -49.0651 10.5288 82.9175
1 171.993 243.656 2 182.742 243.656 24.7964 5.50271 35.1163
1 523.145 365.485 2 523.145 365.485 -0.430345 -1.68251 18.862
1 372.651 437.148 2 361.901 437.148 2.37336 -2.33082 10.149
2 896 230 3 913 230 -58.4415 14.2069 88.3351
2 838 313 3 850 313 -29.7659 0.399228 52.4473
2 795 314 3 806 314 -24.6245 0.320125 50.1491
2 214 394 3 209 394 5.87079 -1.55352 10.6751
2 787 217 3 800 217 -35.0049 14.1218 74.6522
2 356 245 3 357 245 5.52644 2.73937 18.0942
2 74 493 3 69 493 6.95229 -2.9718 8.47376
2 895 245 3 912 245 -58.4276 11.7809 88.5789
2 506 372 3 506 372 0.168823 -1.88966 18.5434
2 899 193 3 916 193 -58.6821 20.1722 87.9296
2 536 369 3 536 369 -0.902928 -1.842 19.1641
2 294 424 3 286 424 3.79797 -2.0755 10.1178
2 893 270 3 909 270 -58.2598 7.69389 88.8452
2 900 177 3 917 177 -58.7033 22.7199 87.7004
2 550 176 3 550 176 -1.47432 5.27642 18.9482
2 893 276 3 910 276 -58.3337 6.71248 88.9699
2 552 175 3 552 175 -1.54827 5.32215 18.9873
2 545 172 3 545 172 -1.29236 5.39664 18.8371
2 549 352 3 549 352 -1.39134 -1.2239 19.3893
2 544 168 3 544 168 -1.25715 5.53203 18.7968
2 903 167 3 920 167 -68.1385 28.1029 101.284
2 543 164 3 543 164 -1.22204 5.66893 18.7634
2 553 348 3 553 348 -1.54329 -1.07799 19.4639
2 296 346 3 291 346 4.59807 -0.576909 11.8022
2 446 444 3 436 444 0.773577 -2.56709 10.5888
2 963 290 3 982 290 -106.061 6.58003 137.182
2 592 228 3 593 228 -3.08766 3.52965 20.0586
2 592 334 3 595 334 -3.55167 -0.746876 25.875
2 582 231 3 583 231 -2.71021 3.44075 20.1746
2 522 311 3 522 311 -0.420987 0.317174 18.6752
2 372 226 3 375 226 6.33922 4.17191 22.1285
2 493 93 3 492 93 0.465451 7.79607 17.5739
2 899 183 3 916 183 -58.534 21.7442 87.6875
2 418 153 3 421 153 4.4699 7.59896 22.9632
2 242 316 3 240 316 6.58546 0.155735 12.8678
2 177 500 3 164 500 4.27652 -2.68816 7.4537
2 233 286 3 234 286 7.97821 1.06977 14.6749
2 576 245 3 576 245 -2.44896 2.83457 19.7242
2 547 274 3 547 274 -1.33763 1.70765 19.3182
2 301 349 3 296 349 4.55766 -0.657688 11.9657
2 548 165 3 548 165 -1.40374 5.65958 18.871
2 852 207 3 867 207 -48.2349 16.9408 82.5052
2 396 433 3 386 433 1.73007 -2.27134 10.253
2 293 432 3 285 432 3.83052 -2.24265 10.1377
2 267.6 416.4 3 260.4 416.4 4.41218 -1.94458 10.2222
2 580.8 216 3 580.8 216 -2.63983 3.94014 19.7415
2 880.8 295.2 3 897.6 295.2 -68.7232 4.351 108.899
2 882 284.4 3 897.6 284.4 -68.711 6.51335 108.484
2 892.8 282 3 909.6 282 -58.2568 5.71668 88.9083
2 492 249.6 3 500.4 249.6 4.82022 7.81725 56.9608
2 543.6 168 3 543.6 168 -1.24271 5.52676 18.7775
2 51.6 462 3 49 462 7.72318 -2.5327 8.81625
2 189.6 225.6 3 205.2 225.6 104.822 28.6027 145.367
2 266.4 330 3 262.8 330 5.60004 -0.202295 12.2895
2 784.8 372 3 787.2 372 -9.56843 -1.88584 18.494
2 789.6 519.6 3 774 519.6 -4.97492 -3.0329 8.0495
2 222 187.2 3 236.4 187.2 70.1873 29.6365 108.333
2 232.8 285.6 3 232.8 285.6 7.97941 1.08119 14.6672
2 544.8 334.8 3 544.8 334.8 -1.2393 -0.570171 19.2211
2 441.6 214.8 3 452.4 214.8 29.4096 30.6784 147.814
2 298.8 423.6 3 290.4 423.6 3.68808 -2.0629 10.0997
2 261.6 444 3 254.4 444 4.59349 -2.5352 10.3052
2 576 244.8 3 576 244.8 -2.44886 2.84179 19.7214
2 364.8 436.8 3 355.2 436.8 2.34284 -2.33159 10.1561
2 320.4 416.4 3 312 416.4 3.22093 -1.90783 10.066
2 226.8 231.6 3 241.2 231.6 97.9271 27.8964 152.486
2 396 433.2 3 386.4 433.2 1.7301 -2.2754 10.253
2 357.6 406.8 3 348 406.8 2.46378 -1.71611 10.0956
2 174.24 525.6 3 161.28 525.6 4.35775 -3.0965 7.49761
2 480.96 246.24 3 489.6 246.24 5.95533 8.09988 56.1688
2 882.72 285.12 3 898.56 285.12 -68.8595 6.36727 108.501
2 233.28 406.08 3 227.52 406.08 5.28245 -1.77175 10.4333
2 87.84 239.04 3 100.8 239.04 29.4452 5.62094 32.3939
2 492.48 249.12 3 501.12 249.12 4.76636 7.87046 56.9647
2 563.04 341.28 3 563.04 341.28 -2.15879 -1.18171 27.647
2 535.68 368.64 3 535.68 368.64 -0.891678 -1.82632 19.1408
2 902.88 167.04 3 921.6 167.04 -68.2188 28.1388 101.438
2 293.76 424.8 3 286.56 424.8 3.80591 -2.09292 10.1232
2 550.08 351.36 3 550.08 351.36 -1.43215 -1.20111 19.4081
2 892.8 276.48 3 908.64 276.48 -58.2123 6.62313 88.8302
2 853.92 276.48 3 866.88 276.48 -48.8497 6.28042 83.2011
2 695.52 312.48 3 704.16 312.48 -14.2421 0.495231 45.8761
2 76.32 335.52 3 89.28 335.52 27.79 -0.788376 29.8027
2 424.8 329.76 3 427.68 329.76 4.38638 -0.441346 23.6514
2 217.44 221.76 3 233.28 221.76 100.819 30.9776 152.31
2 881.28 295.2 3 897.12 295.2 -68.7097 4.34318 108.727
2 444.96 443.52 3 434.88 443.52 0.792657 -2.55403 10.5755
2 895.68 200.16 3 912.96 200.16 -57.8759 18.9211 87.4917
2 475.2 437.76 3 465.12 437.76 0.200896 -2.49715 10.87
2 851.04 207.36 3 865.44 207.36 -48.1377 16.9048 82.5845
2 892.8 267.84 3 910.08 267.84 -58.0438 8.02466 88.5537
2 352.8 205.92 3 355.68 205.92 7.00915 4.96373 21.6402
2 670.464 302.4 3 680.832 302.4 -16.0651 1.90786 62.8118
2 171.072 233.28 3 183.168 233.28 50.1691 12.1699 66.9151
2 658.368 247.104 3 668.736 247.104 -13.7785 7.99887 58.5571
2 893.376 267.84 3 910.656 267.84 -58.2253 8.0362 88.6957
2 810.432 373.248 3 813.888 373.248 -10.4564 -1.93555 18.5538
2 67.392 288.576 3 81.216 288.576 27.607 2.07294 29.0553
2 502.848 371.52 3 502.848 371.52 0.275958 -1.86381 18.4609
2 585.792 226.368 3 585.792 226.368 -2.84796 3.59365 20.0365
2 883.008 293.76 3 898.56 293.76 -68.8307 4.61647 108.383
2 855.36 157.248 3 870.912 157.248 -48.4044 24.3978 81.8559
2 582.336 216 3 582.336 216 -2.70102 3.94772 19.7859
2 855.36 172.8 3 869.184 172.8 -48.4659 22.0576 81.9883
2 858.816 177.984 3 874.368 177.984 -48.9289 21.2336 81.9223
2 896.832 200.448 3 914.112 200.448 -58.1494 18.9019 87.639
2 107.136 504.576 3 100.224 504.576 5.99092 -3.02079 8.09556
2 89.856 330.048 3 103.68 330.048 29.1462 -0.492357 32.1726
2 853.632 190.08 3 869.184 190.08 -48.3704 19.4916 82.2929
2 336.96 447.552 3 328.32 447.552 2.91503 -2.55052 10.1401
2 257.472 387.072 3 250.56 387.072 4.61627 -1.33913 10.2094
2 421.632 131.328 3 423.36 131.328 4.26714 8.53453 22.8506
2 511.488 124.416 3 511.488 124.416 -0.133733 6.85965 18.003
2 800.064 371.52 3 801.792 371.52 -10.0921 -1.8717 18.5181
2 267.84 414.72 3 260.928 414.72 4.40469 -1.90925 10.2186
2 525.312 323.136 3 525.312 323.136 -0.533871 -0.126126 18.7766
2 547.776 165.888 3 547.776 165.888 -1.39529 5.62164 18.852
2 542.592 361.152 3 542.592 361.152 -1.14928 -1.55829 19.2685
2 191.808 250.56 3 202.176 250.56 25.2736 5.35466 36.7262
2 846.72 499.392 3 834.624 499.392 -6.06073 -2.87268 8.51443
2 252.288 381.888 3 245.376 381.888 4.7325 -1.23373 10.2196
2 260.928 217.728 3 274.752 217.728 63.5307 23.5113 112.141
2 468.288 423.36 3 457.92 423.36 0.328994 -2.16841 10.7566
2 883.354 286.157 3 899.943 286.157 -68.8799 6.14728 108.34
2 891.648 279.936 3 908.237 279.936 -57.9566 6.04722 88.7189
2 848.103 257.126 3 862.618 257.126 -48.0262 9.307 83.2446
2 729.907 315.187 3 730.944 315.187 -8.33969 0.114086 20.2832
2 893.722 236.39 3 910.311 236.39 -57.8515 13.1123 87.9809
2 854.323 234.317 3 868.839 234.317 -48.6228 12.7437 82.6292
2 850.176 296.525 3 864.691 296.525 -49.9533 3.28333 86.1794
2 452.045 219.802 3 462.413 219.802 25.4404 28.2095 143.025
2 665.626 298.598 3 675.994 298.598 -15.37 2.34958 62.2477
2 864.691 298.598 3 879.207 298.598 -52.0566 2.919 85.9579
2 248.832 400.205 3 242.611 400.205 4.84431 -1.62113 10.2764
2 66.3552 290.304 3 80.8704 290.304 27.6575 1.96808 29.0379
2 843.955 286.157 3 858.471 286.157 -49.1585 4.98117 86.4608
2 510.106 124.416 3 510.106 124.416 -0.0865222 6.85359 17.9828
2 250.906 441.677 3 244.685 441.677 4.85129 -2.50005 10.35
2 134.784 514.253 3 124.416 514.253 5.23456 -3.04716 7.77922
2 885.427 481.075 3 875.059 481.075 -7.00478 -2.7493 9.0868
2 537.062 358.733 3 537.062 358.733 -0.945652 -1.45795 19.1481
2 526.694 321.408 3 526.694 321.408 -0.584289 -0.0633435 18.7918
2 358.733 427.162 3 348.365 427.162 2.45794 -2.13297 10.133
2 479.002 344.218 3 479.002 344.218 1.16698 -0.886721 18.6967
2 340.07 441.677 3 331.776 441.677 2.84672 -2.4294 10.1335
