num_cameras num_3d_landmarks num_observations
10 300 1084
9 288 884.736 210.816
7 289 179.712 238.464
8 289 191.808 238.464
9 289 203.904 240.192
7 290 599.616 336.96
8 290 603.072 336.96
9 290 606.528 336.96
7 291 854.323 298.598
8 291 869.184 298.944
9 291 883.354 298.598
7 292 499.738 371.174
8 292 499.738 371.174
9 292 499.738 371.174
7 293 569.825 228.925
8 293 569.825 228.925
9 293 572.314 228.925
7 294 841.052 174.182
8 294 855.982 174.182
9 294 870.912 171.694
7 295 855.982 296.11
8 295 868.424 296.11
9 295 883.354 296.11
7 296 709.171 251.32
8 296 719.125 251.32
9 296 729.078 251.32
7 297 313.528 444.912
8 297 304.57 444.912
9 297 295.612 444.912
7 298 513.589 122.425
8 298 513.589 122.425
9 298 513.589 122.425
7 299 237 412
9 299 227 409
8 299 232 411
0 0 0 0 0 0 1
-0.458199 0.0134333 0.0175014 0.000342622 0.0117145 0.00113658 0.999931
-0.91592 0.0144239 0.0339519 0.00045776 0.0234132 0.00226077 0.999723
-1.36685 0.0156018 0.0617365 0.000575548 0.0350699 0.0033241 0.999379
-1.81336 0.0161751 0.102184 0.000744063 0.0465815 0.00437636 0.998905
-2.24973 0.0154667 0.159349 0.000871979 0.0578699 0.0055667 0.998308
-2.6944 0.0125619 0.219146 0.000896686 0.0694333 0.00643028 0.997565
-3.1323 0.00815051 0.282119 0.000933441 0.0809099 0.00732485 0.996694
-3.56119 0.00448243 0.356306 0.00103801 0.0920523 0.00848753 0.995717
-3.99827 -0.00384593 0.440864 0.00108922 0.103515 0.00950399 0.994582
-15.1097 0.287118 45.9392
27.4303 -1.08663 30.2367
-59.7211 6.70562 87.5837
-2.57889 -1.02577 25.7245
-49.2741 10.089 82.1577
1.79217 -2.17494 10.3117
-59.0732 9.20948 86.9213
-31.8946 14.2391 71.4586
3.51609 -2.05952 10.1382
-2.54003 -1.02498 25.722
-0.815229 -1.82704 19.0644
-30.2444 0.817416 52.3146
27.3226 -1.08069 30.0713
-2.68615 3.94913 19.7148
-59.5087 6.84032 87.4164
-35.527 14.5511 73.4542
3.54068 -2.10738 10.1409
-0.939375 -1.81892 19.1465
-49.6469 25.6153 80.4405
-59.9522 12.2157 87.2316
7.32235 4.65757 21.6484
-59.8951 9.72176 87.3967
